SEXO,EDAD_TRAMO,COMUNA,n,peso_medio,costo_medio,dias_medio,z_peso_medio,z_costo_medio,score_perfil
HOMBRE,0-17,PENCAHUE,39,9.895592307692308,1627.1582282051281,19.358974358974358,1.5722889984655315,14.706045347294474,16.278334345760005
HOMBRE,18-39,FLORIDA,22,10.4957,1097.0696727272727,12.772727272727273,1.803358806237364,9.578831339816196,11.38219014605356
HOMBRE,18-39,CALERA DE TANGO,36,15.648263888888888,882.1867138888888,12.916666666666666,3.7873392860729513,7.500403301445602,11.287742587518554
MUJER,40-64,PORVENIR,34,8.897397058823529,1067.9866499999998,14.970588235294118,1.1879366776547473,9.297529508327566,10.485466185982313
MUJER,0-17,CODEGUA,37,10.400564864864865,914.6743783783785,10.783783783783784,1.7667272854790006,7.814636096550201,9.5813633820292
MUJER,0-17,COELEMU,68,13.011970588235293,796.5240911764706,14.0,2.7722418393635717,6.671842498633127,9.4440843379967
HOMBRE,65+,LOS VILOS,84,12.980801190476189,787.3975202380954,14.392857142857142,2.760240148932203,6.583566904165143,9.343807053097347
MUJER,40-64,ISLA DE PASCUA,30,13.708386666666666,712.7550733333334,13.3,3.040394924943155,5.861597347630288,8.901992272573443
MUJER,0-17,PICA,23,11.113804347826088,783.1800608695652,17.782608695652176,2.041358176460197,6.542774065823622,8.584132242283818
MUJER,0-17,VITACURA,24,13.097904166666666,641.4239208333335,14.583333333333334,2.8053303261532094,5.171655864291005,7.976986190444215
HOMBRE,40-64,PEMUCO,70,8.484627142857143,766.4795571428572,12.714285714285714,1.029000762719924,6.3812405715524045,7.410241334272328
MUJER,0-17,TALTAL,34,9.622564705882352,713.8848676470589,9.911764705882353,1.4671604752432634,5.872525139168215,7.339685614411478
HOMBRE,65+,LUMACO,82,10.364098780487804,684.2001329268293,12.378048780487806,1.7526861205094328,5.585403325099553,7.338089445608986
HOMBRE,18-39,CHAÑARAL,39,7.1659999999999995,769.1315102564103,13.205128205128204,0.5212670270448689,6.406891250123889,6.928158277168757
HOMBRE,40-64,TIRÚA,57,14.041412280701755,487.9230052631579,11.175438596491228,3.1686255168928565,3.6869378179587966,6.855563334851653
HOMBRE,65+,PAPUDO,42,14.077776190476191,475.61272619047617,14.857142857142858,3.1826273398141716,3.5678682122388192,6.750495552052991
HOMBRE,0-17,SANTA JUANA,76,7.359652631578948,713.0793736842106,9.56578947368421,0.5958324374320998,5.864734101450882,6.460566538882982
MUJER,40-64,ILLAPEL,116,13.20765,448.9923974137931,9.224137931034482,2.8475876558577764,3.31038647418385,6.157974130041627
HOMBRE,65+,HIJUELAS,98,13.011225510204083,439.88875,12.877551020408163,2.771954949127613,3.222332604586408,5.99428755371402
HOMBRE,40-64,OLMUÉ,80,12.22243875,469.13686999999993,10.325,2.468234787913829,3.5052313184083284,5.9734661063221575
HOMBRE,0-17,ISLA DE PASCUA,22,12.162645454545453,463.04407272727275,11.363636363636363,2.4452115448129184,3.4462995131493157,5.891511057962234
HOMBRE,40-64,PORVENIR,26,11.156007692307693,481.42525,9.961538461538462,2.057608457570896,3.624089108138234,5.68169756570913
HOMBRE,0-17,LOS VILOS,53,8.735711320754715,573.0932509433962,7.962264150943396,1.1256800312329385,4.510736166667585,5.636416197900523
HOMBRE,0-17,ÑIQUÉN,87,9.134762068965516,554.0618701149425,9.724137931034482,1.2793334185536225,4.326657560636677,5.605990979190299
HOMBRE,65+,LA CRUZ,103,11.067842718446602,476.4023485436893,12.398058252427184,2.023660778140309,3.5755057338343623,5.599166511974671
HOMBRE,18-39,ALGARROBO,27,10.301359259259259,498.5295703703704,13.222222222222221,1.728528441319839,3.789528467439819,5.518056908759658
HOMBRE,40-64,QUINTERO,174,11.806429310344827,437.8204390804598,10.660919540229886,2.3080515033391302,3.2023271307671752,5.5103786341063055
HOMBRE,0-17,RENGO,195,9.002622051282051,543.2175123076923,7.805128205128205,1.2284532700794892,4.221766891564757,5.450220161644246
HOMBRE,40-64,SANTA BÁRBARA,116,9.680043103448275,494.15487758620696,8.517241379310345,1.489292373312287,3.747214808920712,5.236507182232999
HOMBRE,0-17,CATEMU,67,9.596668656716417,496.4672,4.880597014925373,1.4571892731081733,3.7695804528254704,5.226769725933644
HOMBRE,0-17,PANQUEHUE,40,5.812234999999999,642.0602325,9.05,3.556624552274181e-06,5.177810507806209,5.177814064430761
HOMBRE,65+,NEGRETE,79,11.948801265822784,395.337853164557,9.746835443037975,2.362871431172223,2.7914197317467195,5.154291162918943
HOMBRE,0-17,PAPUDO,43,5.334125581395349,652.3726325581396,10.093023255813954,-0.18409115315336333,5.277555883333414,5.093464730180051
MUJER,0-17,CURACAVÍ,106,7.5516886792452835,558.0198216981132,12.99056603773585,0.669775386653239,4.364940342991523,5.034715729644762
MUJER,65+,CANELA,45,14.821048888888887,267.28667333333334,7.4222222222222225,3.46882243737045,1.552861011472297,5.021683448842747
HOMBRE,18-39,RÍO NEGRO,50,12.351087999999999,363.227808,6.92,2.5177708259425637,2.48083941144521,4.998610237387774
MUJER,65+,CONTULMO,28,13.788035714285714,286.0846571428571,8.964285714285714,3.0710635705187004,1.734682114577713,4.805745685096413
MUJER,0-17,LICANTÉN,37,10.602635135135136,403.1681135135135,13.108108108108109,1.8445338843716095,2.8671569272181068,4.711690811589716
MUJER,0-17,EL CARMEN,50,10.587288000000001,396.71097399999996,7.7,1.8386245124189071,2.8047010680606057,4.643325580479512
MUJER,40-64,VICHUQUÉN,26,7.369473076923077,521.3631846153846,6.6923076923076925,0.5996137727607231,4.010383691701086,4.609997464461809
MUJER,65+,CORRAL,29,10.962355172413792,375.68377931034485,9.413793103448276,1.9830430901876839,2.6013182067694673,4.584361296957152
HOMBRE,40-64,ILLAPEL,103,12.89004854368932,298.89247669902915,10.844660194174757,2.7252960931958286,1.858564117226236,4.583860210422064
HOMBRE,0-17,SAN JAVIER,196,6.240408673469388,545.6076056122449,8.41326530612245,0.16487064579827818,4.244884764500601,4.40975541029888
HOMBRE,0-17,FLORIDA,57,6.713121052631579,526.1514263157895,8.859649122807017,0.3468872404603711,4.056697349416967,4.4035845898773385
MUJER,65+,LOS VILOS,66,13.58959393939394,250.3356060606061,7.303030303030303,2.994654113739678,1.3889039732297226,4.3835580869694
HOMBRE,40-64,SALAMANCA,83,10.875192771084338,355.619178313253,9.74698795180723,1.9494814485385352,2.407245910313239,4.356727358851774
MUJER,40-64,FUTALEUFÚ,20,14.060495,227.55323000000004,8.45,3.175973265199586,1.16854434377823,4.3445176089778155
HOMBRE,18-39,EL CARMEN,39,12.739020512820513,278.1224076923077,7.358974358974359,2.6671431674654245,1.6576682713395927,4.324811438805018
HOMBRE,40-64,LOS VILOS,83,12.58025421686747,283.09785542168675,9.036144578313253,2.606010644158748,1.7057926555164058,4.311803299675153
HOMBRE,40-64,TOCOPILLA,149,11.230714765100672,335.70588859060405,9.523489932885907,2.086374209403017,2.2146371528785505,4.301011362281567
HOMBRE,65+,CANELA,47,12.375510638297872,289.63340851063833,10.170212765957446,2.527174695296528,1.769006959990652,4.29618165528718
HOMBRE,65+,QUEILÉN,40,8.7184825,435.008745,7.925,1.1190461214348182,3.1751313780479307,4.294177499482749
MUJER,0-17,PADRE HURTADO,193,8.938291191709846,424.7100025906735,9.129533678756477,1.203682850460331,3.075518104388573,4.279200954848904
HOMBRE,40-64,MALLOA,33,14.268263636363637,211.88197878787878,6.96969696969697,3.255974004201855,1.016966163304089,4.2729401675059435
HOMBRE,40-64,INDEPENDENCIA,499,10.878289378757517,345.27335871743486,10.937875751503006,1.9506737887617285,2.307177288566249,4.257851077327977
HOMBRE,65+,LONQUIMAY,110,12.142015454545454,292.1824090909091,10.909090909090908,2.4372680203498316,1.793661843302466,4.230929863652298
MUJER,0-17,CATEMU,44,8.636077272727272,430.07877727272734,6.431818181818182,1.087316216503787,3.1274468933963018,4.214763109900089
MUJER,65+,LEBU,119,10.158742016806723,369.2806613445378,8.865546218487395,1.6736140664153432,2.539384864148579,4.212998930563922
HOMBRE,0-17,COBQUECURA,27,11.27358888888889,324.85672592592596,8.962962962962964,2.1028827722311862,2.109700009435408,4.212582781666594
HOMBRE,18-39,MELIPEUCO,22,13.138800000000002,247.10069545454544,8.045454545454545,2.8210771537112165,1.3576147125940492,4.1786918663052655
HOMBRE,65+,ILLAPEL,117,12.870329914529915,250.31683162393162,8.52991452991453,2.717703489555195,1.3887223798832804,4.106425869438475
HOMBRE,18-39,PENCAHUE,25,15.495852,144.14018,6.36,3.728653509637944,0.3617422463797085,4.090395756017652
MUJER,0-17,HIJUELAS,55,10.110154545454545,356.6541890909091,7.963636363636364,1.654905594903682,2.4172569201761207,4.072162515079802
MUJER,0-17,NATALES,56,7.447653571428572,462.13396964285715,7.517857142857143,0.6297169560200855,3.437496657033212,4.067213613053298
HOMBRE,65+,TIRÚA,33,12.925293939393939,237.67327575757577,11.727272727272727,2.7388672353669787,1.2664291968435608,4.00529643221054
MUJER,65+,VICHUQUÉN,32,12.9537625,235.49370000000002,8.09375,2.7498289759197236,1.24534752805611,3.9951765039758333
